Episode,Reward,Steps,Epsilon,Success
278,89,12,0.24820838415550486,1
279,69,14,0.24696734223472733,1
280,61,13,0.2457325055235537,1
281,77,15,0.24450384299593592,1
282,91,10,0.24328132378095624,1
283,91,10,0.24206491716205145,1
284,69,14,0.2408545925762412,1
285,89,12,0.23965031961336,1
286,81,11,0.2384520680152932,1
287,47,18,0.23725980767521673,1
288,91,10,0.23607350863684065,1
289,91,10,0.23489314109365644,1
290,69,14,0.23371867538818816,1
291,71,12,0.23255008201124722,1
292,79,13,0.231387331601191,1
293,87,14,0.23023039494318503,1
294,69,14,0.2290792429684691,1
295,79,13,0.22793384675362674,1
296,81,11,0.22679417751985861,1
297,63,20,0.22566020663225933,1
298,89,12,0.22453190559909803,1
299,81,11,0.22340924607110255,1
300,69,14,0.22229219984074702,1
301,75,17,0.2211807388415433,1
302,61,13,0.22007483514733558,1
303,81,11,0.2189744609715989,1
304,69,14,0.2178795886667409,1
305,81,11,0.2167901907234072,1
306,91,10,0.21570623976979014,1
307,91,10,0.21462770857094118,1
308,67,16,0.21355457002808648,1
309,69,14,0.21248679717794605,1
310,89,12,0.21142436319205632,1
311,59,15,0.21036724137609603,1
312,27,20,0.20931540516921554,1
313,89,12,0.20826882814336947,1
314,89,12,0.20722748400265262,1
315,71,12,0.20619134658263935,1
316,81,11,0.20516038984972615,1
317,77,15,0.2041345879004775,1
318,91,10,0.2031139149609751,1
319,81,11,0.20209834538617025,1
320,79,13,0.2010878536592394,1
321,89,12,0.2000824143909432,1
322,91,10,0.19908200231898848,1
323,61,13,0.19808659230739353,1
324,49,16,0.19709615934585656,1
325,89,12,0.19611067854912728,1
326,87,14,0.19513012515638165,1
327,69,14,0.19415447453059972,1
328,79,13,0.19318370215794672,1
329,81,20,0.192217783647157,1
330,81,11,0.1912566947289212,1
331,57,17,0.1903004112552766,1
332,69,14,0.18934890919900021,1
333,77,15,0.18840216465300522,1
334,79,13,0.18746015382974018,1
335,79,13,0.1865228530605915,1
336,91,10,0.18559023879528855,1
337,87,14,0.1846622876013121,1
338,55,19,0.18373897616330553,1
339,79,13,0.182820281282489,1
340,81,11,0.18190617987607657,1
341,87,14,0.18099664897669618,1
342,89,12,0.1800916657318127,1
343,81,11,0.17919120740315364,1
344,91,10,0.17829525136613786,1
345,51,14,0.17740377510930716,1
346,65,18,0.17651675623376062,1
347,91,10,0.1756341724525918,1
348,79,13,0.17475600159032884,1
349,79,13,0.17388222158237718,1
350,91,10,0.1730128104744653,1
351,81,11,0.17214774642209296,1
352,91,10,0.1712870076899825,1
353,89,12,0.17043057265153258,1
354,85,16,0.16957841978827493,1
355,91,10,0.16873052768933355,1
356,69,14,0.1678868750508869,1
357,89,12,0.16704744067563246,1
358,81,11,0.1662122034722543,1
359,47,18,0.16538114245489302,1
360,71,21,0.16455423674261854,1
361,67,16,0.16373146555890544,1
362,71,12,0.16291280823111093,1
363,77,15,0.16209824418995536,1
364,89,12,0.16128775296900558,1
365,77,15,0.16048131420416054,1
366,89,12,0.15967890763313974,1
367,89,12,0.15888051309497406,1
368,89,12,0.1580861105294992,1
369,89,12,0.1572956799768517,1
370,91,10,0.15650920157696743,1
371,87,14,0.1557266555690826,1
372,47,18,0.1549480222912372,1
373,81,11,0.15417328217978102,1
374,81,11,0.1534024157688821,1
375,81,11,0.1526354036900377,1
376,91,10,0.1518722266715875,1
377,81,11,0.15111286553822956,1
378,81,11,0.15035730121053842,1
379,81,11,0.14960551470448571,1
380,81,11,0.14885748713096328,1
381,89,12,0.14811319969530845,1
382,71,12,0.1473726336968319,1
383,79,13,0.14663577052834775,1
384,87,14,0.14590259167570602,1
385,81,11,0.1451730787173275,1
386,69,14,0.14444721332374086,1
387,79,13,0.14372497725712216,1
388,89,12,0.14300635237083656,1
389,79,13,0.14229132060898236,1
390,71,12,0.14157986400593744,1
391,81,11,0.14087196468590776,1
392,91,10,0.14016760486247823,1
393,91,10,0.13946676683816583,1
394,69,14,0.138769433003975,1
395,61,13,0.13807558583895513,1
396,81,11,0.13738520790976036,1
397,81,11,0.13669828187021155,1
398,89,12,0.13601479046086049,1
399,71,12,0.1353347165085562,1
400,87,14,0.1346580429260134,1
401,91,10,0.13398475271138335,1
402,91,10,0.13331482894782642,1
403,79,13,0.13264825480308728,1
404,91,10,0.13198501352907185,1
405,91,10,0.1313250884614265,1
406,89,12,0.13066846301911936,1
407,91,10,0.13001512070402377,1
408,91,10,0.12936504510050365,1
409,85,16,0.12871821987500112,1
410,71,12,0.12807462877562611,1
411,69,14,0.12743425563174798,1
412,81,11,0.12679708435358925,1
413,81,11,0.1261630989318213,1
414,91,10,0.1255322834371622,1
415,81,11,0.12490462201997637,1
416,89,12,0.1242800989098765,1
417,81,11,0.12365869841532712,1
418,89,12,0.12304040492325048,1
419,71,12,0.12242520289863423,1
420,91,10,0.12181307688414106,1
421,91,10,0.12120401149972035,1
422,87,14,0.12059799144222175,1
423,79,13,0.11999500148501063,1
424,91,10,0.11939502647758558,1
425,89,12,0.11879805134519765,1
426,91,10,0.11820406108847166,1
427,89,12,0.1176130407830293,1
428,91,10,0.11702497557911415,1
429,91,10,0.11643985070121858,1
430,81,11,0.11585765144771248,1
431,91,10,0.11527836319047392,1
432,71,12,0.11470197137452155,1
433,79,13,0.11412846151764894,1
434,89,12,0.1135578192100607,1
435,91,10,0.11299003011401039,1
436,79,13,0.11242507996344034,1
437,71,12,0.11186295456362313,1
438,89,12,0.11130363979080501,1
439,91,10,0.11074712159185099,1
440,81,11,0.11019338598389174,1
441,91,10,0.10964241905397228,1
442,79,13,0.10909420695870241,1
443,89,12,0.1085487359239089,1
444,89,12,0.10800599224428936,1
445,81,11,0.10746596228306791,1
446,91,10,0.10692863247165257,1
447,87,14,0.1063939893092943,1
448,89,12,0.10586201936274783,1
449,91,10,0.10533270926593409,1
450,91,10,0.10480604571960442,1
451,71,12,0.1042820154910064,1
452,89,12,0.10376060541355137,1
453,89,12,0.1032418023864836,1
454,91,10,0.10272559337455119,1
455,91,10,0.10221196540767843,1
456,89,12,0.10170090558064004,1
457,91,10,0.10119240105273684,1
458,81,11,0.10068643904747315,1
459,91,10,0.10018300685223579,1
460,87,14,0.0996820918179746,1
461,91,10,0.09918368135888474,1
462,91,10,0.09868776295209031,1
463,81,11,0.09819432413732986,1
464,91,10,0.09770335251664321,1
465,77,15,0.09721483575406,1
466,79,13,0.09672876157528969,1
467,89,12,0.09624511776741324,1
468,91,10,0.09576389217857617,1
469,89,12,0.09528507271768329,1
470,89,12,0.09480864735409487,1
471,79,13,0.0943346041173244,1
472,91,10,0.09386293109673778,1
473,81,11,0.09339361644125409,1
474,91,10,0.09292664835904782,1
475,81,11,0.09246201511725258,1
476,91,10,0.09199970504166631,1
477,91,10,0.09153970651645797,1
478,91,10,0.09108200798387568,1
479,91,10,0.0906265979439563,1
480,91,10,0.09017346495423652,1
481,71,12,0.08972259762946533,1
482,91,10,0.089273984641318,1
483,89,12,0.0888276147181114,1
484,91,10,0.08838347664452084,1
485,71,12,0.08794155926129824,1
486,81,11,0.08750185146499175,1
487,81,11,0.08706434220766679,1
488,81,11,0.08662902049662846,1
489,89,12,0.08619587539414532,1
490,91,10,0.08576489601717459,1
491,81,11,0.08533607153708872,1
492,91,10,0.08490939117940327,1
493,91,10,0.08448484422350626,1
494,81,11,0.08406242000238873,1
495,71,12,0.08364210790237678,1
496,91,10,0.0832238973628649,1
497,81,11,0.08280777787605056,1
498,91,10,0.08239373898667031,1
499,89,12,0.08198177029173696,1
500,91,10,0.08157186144027828,1
501,91,10,0.0811640021330769,1
502,91,10,0.08075818212241151,1
503,81,11,0.08035439121179945,1
504,91,10,0.07995261925574046,1
505,87,14,0.07955285615946175,1
506,91,10,0.07915509187866444,1
507,89,12,0.07875931641927113,1
508,91,10,0.07836551983717477,1
509,91,10,0.07797369223798889,1
510,69,14,0.07758382377679894,1
511,91,10,0.07719590465791494,1
512,81,11,0.07680992513462537,1
513,81,11,0.07642587550895225,1
514,89,12,0.07604374613140748,1
515,81,11,0.07566352740075044,1
516,91,10,0.07528520976374668,1
517,81,11,0.07490878371492794,1
518,79,13,0.0745342397963533,1
519,91,10,0.07416156859737154,1
520,81,11,0.07379076075438468,1
521,87,14,0.07342180695061275,1
522,71,12,0.07305469791585968,1
523,91,10,0.07268942442628039,1
524,89,12,0.07232597730414898,1
525,91,10,0.07196434741762824,1
526,89,12,0.0716045256805401,1
527,91,10,0.0712465030521374,1
528,91,10,0.0708902705368767,1
529,89,12,0.07053581918419231,1
530,91,10,0.07018314008827135,1
531,81,11,0.06983222438783,1
532,89,12,0.06948306326589085,1
533,91,10,0.0691356479495614,1
534,81,11,0.06878996970981359,1
535,91,10,0.06844601986126451,1
536,91,10,0.06810378976195819,1
537,71,12,0.0677632708131484,1
538,91,10,0.06742445445908266,1
539,91,10,0.06708733218678724,1
540,91,10,0.0667518955258533,1
541,91,10,0.06641813604822402,1
542,81,11,0.0660860453679829,1
543,91,10,0.06575561514114299,1
544,91,10,0.06542683706543727,1
545,91,10,0.06509970288011008,1
546,91,10,0.06477420436570952,1
547,91,10,0.06445033334388098,1
548,81,11,0.06412808167716157,1
549,91,10,0.06380744126877576,1
550,91,10,0.06348840406243188,1
551,91,10,0.06317096204211972,1
552,81,11,0.06285510723190912,1
553,89,12,0.06254083169574957,1
554,91,10,0.062228127537270826,1
555,81,11,0.06191698689958447,1
556,91,10,0.061607401965086545,1
557,81,11,0.06129936495526111,1
558,81,11,0.0609928681304848,1
559,81,11,0.060687903789832374,1
560,91,10,0.06038446427088321,1
561,91,10,0.06008254194952879,1
562,71,12,0.05978212923978115,1
563,91,10,0.05948321859358224,1
564,91,10,0.05918580250061433,1
565,91,10,0.058889873488111255,1
566,89,12,0.058595424120670696,1
567,91,10,0.05830244700006734,1
568,81,11,0.058010934765067,1
569,91,10,0.05772088009124167,1
570,81,11,0.05743227569078546,1
571,91,10,0.05714511431233153,1
572,91,10,0.05685938874076987,1
573,79,13,0.056575091797066025,1
574,91,10,0.056292216338080694,1
575,91,10,0.05601075525639029,1
576,89,12,0.05573070148010834,1
577,91,10,0.0554520479727078,1
578,91,10,0.05517478773284426,1
579,91,10,0.05489891379418004,1
580,91,10,0.05462441922520914,1
581,91,10,0.0543512971290831,1
582,91,10,0.05407954064343768,1
583,91,10,0.05380914294022049,1
584,91,10,0.05354009722551939,1
585,91,10,0.05327239673939179,1
586,91,10,0.053006034755694834,1
587,91,10,0.052741004581916356,1
588,81,11,0.052477299559006776,1
589,91,10,0.052214913061211746,1
590,91,10,0.05195383849590569,1
591,91,10,0.05169406930342616,1
592,91,10,0.05143559895690903,1
593,89,12,0.051178420962124486,1
594,91,10,0.05092252885731386,1
595,89,12,0.05066791621302729,1
596,71,12,0.05041457663196215,1
597,89,12,0.050162503748802344,1
598,91,10,0.049911691230058335,1
599,91,10,0.04966213277390804,1
600,81,11,0.0494138221100385,1
601,91,10,0.04916675299948831,1
602,91,10,0.04892091923449087,1
603,89,12,0.04867631463831842,1
604,81,11,0.048432933065126825,1
605,81,11,0.048190768399801194,1
606,91,10,0.04794981455780219,1
607,91,10,0.04771006548501318,1
608,91,10,0.047471515157588115,1
609,81,11,0.047234157581800176,1
610,81,11,0.046997986793891174,1
611,89,12,0.04676299685992172,1
612,91,10,0.04652918187562211,1
613,89,12,0.046296535966244,1
614,91,10,0.046065053286412784,1
615,91,10,0.04583472801998072,1
616,69,14,0.045605554379880814,1
617,91,10,0.04537752660798141,1
618,91,10,0.0451506389749415,1
619,91,10,0.044924885780066794,1
620,91,10,0.04470026135116646,1
621,89,12,0.04447676004441063,1
622,89,12,0.04425437624418858,1
623,89,12,0.04403310436296763,1
624,89,12,0.043812938841152796,1
625,91,10,0.04359387414694703,1
626,91,10,0.043375904776212296,1
627,89,12,0.043159025252331236,1
628,91,10,0.04294323012606958,1
629,89,12,0.04272851397543923,1
630,91,10,0.04251487140556204,1
631,91,10,0.04230229704853423,1
632,91,10,0.04209078556329156,1
633,91,10,0.0418803316354751,1
634,89,12,0.041670929977297724,1
635,91,10,0.04146257532741124,1
636,91,10,0.04125526245077418,1
637,91,10,0.04104898613852031,1
638,91,10,0.04084374120782771,1
639,91,10,0.04063952250178857,1
640,91,10,0.04043632488927963,1
641,89,12,0.04023414326483323,1
642,81,11,0.040032972548509065,1
643,91,10,0.03983280768576652,1
644,91,10,0.03963364364733769,1
645,91,10,0.039435475429100995,1
646,91,10,0.03923829805195549,1
647,91,10,0.03904210656169572,1
648,91,10,0.03884689602888724,1
649,91,10,0.0386526615487428,1
650,91,10,0.03845939824099909,1
651,91,10,0.03826710124979409,1
652,91,10,0.038075765743545126,1
653,89,12,0.0378853869148274,1
654,91,10,0.03769595998025326,1
655,91,10,0.03750748018035199,1
656,89,12,0.037319942779450235,1
657,89,12,0.037133343065552986,1
658,81,11,0.03694767635022522,1
659,89,12,0.036762937968474095,1
660,81,11,0.03657912327863173,1
661,89,12,0.036396227662238566,1
662,91,10,0.03621424652392737,1
663,91,10,0.036033175291307735,1
664,91,10,0.03585300941485119,1
665,91,10,0.035673744367776934,1
666,91,10,0.03549537564593805,1
667,91,10,0.035317898767708356,1
668,91,10,0.03514130927386981,1
669,91,10,0.03496560272750046,1
670,91,10,0.03479077471386296,1
671,91,10,0.03461682084029365,1
672,81,11,0.034443736736092176,1
673,91,10,0.034271518052411715,1
674,81,11,0.034100160462149656,1
675,91,10,0.03392965965983891,1
676,91,10,0.033760011361539714,1
677,91,10,0.03359121130473201,1
678,91,10,0.033423255248208356,1
679,91,10,0.03325613897196732,1
680,89,12,0.03308985827710748,1
681,91,10,0.032924408985721944,1
682,91,10,0.03275978694079333,1
683,89,12,0.032595988006089364,1
684,91,10,0.032433008066058915,1
685,91,10,0.03227084302572862,1
686,91,10,0.032109488810599975,1
687,91,10,0.031948941366546975,1
688,77,15,0.03178919665971424,1
689,91,10,0.03163025067641567,1
690,81,11,0.03147209942303359,1
691,81,11,0.03131473892591842,1
692,91,10,0.031158165231288826,1
693,91,10,0.03100237440513238,1
694,91,10,0.030847362533106718,1
695,89,12,0.030693125720441184,1
696,91,10,0.030539660091838977,1
697,91,10,0.03038696179137978,1
698,91,10,0.030235026982422884,1
699,81,11,0.030083851847510768,1
700,91,10,0.029933432588273214,1
701,91,10,0.029783765425331846,1
702,91,10,0.029634846598205186,1
703,81,11,0.02948667236521416,1
704,91,10,0.029339239003388088,1
705,91,10,0.029192542808371146,1
706,91,10,0.02904658009432929,1
707,71,12,0.028901347193857643,1
708,91,10,0.028756840457888354,1
709,91,10,0.02861305625559891,1
710,91,10,0.028469990974320916,1
711,81,11,0.02832764101944931,1
712,91,10,0.028186002814352063,1
713,91,10,0.0280450728002803,1
714,91,10,0.0279048474362789,1
715,91,10,0.027765323199097504,1
716,91,10,0.027626496583102015,1
717,91,10,0.027488364100186506,1
718,71,12,0.027350922279685573,1
719,91,10,0.027214167668287145,1
720,91,10,0.02707809682994571,1
721,91,10,0.02694270634579598,1
722,91,10,0.026807992814067,1
723,91,10,0.026673952849996664,1
724,91,10,0.02654058308574668,1
725,91,10,0.026407880170317945,1
726,91,10,0.026275840769466357,1
727,91,10,0.026144461565619025,1
728,91,10,0.02601373925779093,1
729,91,10,0.025883670561501974,1
730,91,10,0.025754252208694463,1
731,91,10,0.02562548094765099,1
732,91,10,0.025497353542912736,1
733,91,10,0.02536986677519817,1
734,91,10,0.02524301744132218,1
735,91,10,0.025116802354115567,1
736,91,10,0.024991218342344988,1
737,91,10,0.024866262250633264,1
738,91,10,0.024741930939380097,1
739,91,10,0.024618221284683196,1
740,91,10,0.02449513017825978,1
741,89,12,0.02437265452736848,1
742,91,10,0.024250791254731636,1
743,81,11,0.024129537298457977,1
744,91,10,0.024008889611965685,1
745,91,10,0.023888845163905856,1
746,81,11,0.023769400938086327,1
747,91,10,0.023650553933395897,1
748,81,11,0.023532301163728918,1
749,89,12,0.023414639657910272,1
750,91,10,0.023297566459620722,1
751,91,10,0.023181078627322618,1
752,91,10,0.023065173234186005,1
753,91,10,0.022949847368015076,1
754,91,10,0.022835098131175,1
755,91,10,0.022720922640519125,1
756,91,10,0.02260731802731653,1
757,91,10,0.022494281437179946,1
758,91,10,0.022381810029994047,1
759,91,10,0.022269900979844076,1
760,91,10,0.022158551474944856,1
761,91,10,0.022047758717570132,1
762,81,11,0.021937519923982282,1
763,91,10,0.021827832324362372,1
764,91,10,0.02171869316274056,1
765,91,10,0.021610099696926857,1
766,91,10,0.021502049198442223,1
767,91,10,0.021394538952450012,1
768,91,10,0.02128756625768776,1
769,91,10,0.021181128426399323,1
770,91,10,0.021075222784267326,1
771,91,10,0.020969846670345987,1
772,91,10,0.020864997436994256,1
773,91,10,0.020760672449809284,1
774,91,10,0.020656869087560238,1
775,91,10,0.020553584742122436,1
776,91,10,0.020450816818411825,1
777,91,10,0.020348562734319765,1
778,91,10,0.020246819920648168,1
779,91,10,0.020145585821044927,1
780,91,10,0.020044857891939702,1
781,91,10,0.019944633602480003,1
782,91,10,0.019844910434467605,1
783,81,11,0.019745685882295267,1
784,89,12,0.01964695745288379,1
785,91,10,0.01954872266561937,1
786,91,10,0.019450979052291272,1
787,91,10,0.019353724157029815,1
788,91,10,0.019256955536244666,1
789,91,10,0.019160670758563442,1
790,81,11,0.019064867404770626,1
791,91,10,0.018969543067746772,1
792,91,10,0.018874695352408037,1
793,91,10,0.018780321875645996,1
794,91,10,0.018686420266267767,1
795,91,10,0.018592988164936427,1
796,91,10,0.018500023224111744,1
797,91,10,0.018407523107991184,1
798,91,10,0.01831548549245123,1
799,91,10,0.018223908064988973,1
800,89,12,0.018132788524664028,1
801,91,10,0.018042124582040707,1
802,91,10,0.017951913959130504,1
803,91,10,0.01786215438933485,1
804,91,10,0.017772843617388175,1
805,91,10,0.017683979399301233,1
806,91,10,0.017595559502304726,1
807,91,10,0.0175075817047932,1
808,89,12,0.017420043796269234,1
809,91,10,0.017332943577287888,1
810,91,10,0.01724627885940145,1
811,91,10,0.017160047465104442,1
812,91,10,0.01707424722777892,1
813,91,10,0.016988875991640028,1
814,91,10,0.016903931611681827,1
815,91,10,0.01681941195362342,1
816,91,10,0.016735314893855303,1
817,91,10,0.016651638319386028,1
818,91,10,0.0165683801277891,1
